Provincia de Misiones,Provincia,Misiones,IGN,54,MI,AR-N
Provincia de San Luis,Provincia,San Luis,IGN,74,SL,AR-D
Provincia de San Juan,Provincia,San Juan,IGN,70,SJ,AR-J
Provincia de Entre Ríos,Provincia,Entre Ríos,IGN,30,ER,AR-E
Provincia de Santa Cruz,Provincia,Santa Cruz,IGN,78,SC,AR-Z
Provincia de Río Negro,Provincia,Río Negro,IGN,62,RN,AR-R
Provincia del Chubut,Provincia,Chubut,IGN,26,CT,AR-U
Provincia de Córdoba,Provincia,Córdoba,IGN,14,CB,AR-X
Provincia de Mendoza,Provincia,Mendoza,IGN,50,MZ,AR-M
Provincia de La Rioja,Provincia,La Rioja,IGN,46,LR,AR-F
Provincia de Catamarca,Provincia,Catamarca,IGN,10,CA,AR-K
Provincia de La Pampa,Provincia,La Pampa,IGN,42,LP,AR-L
Provincia de Santiago del Estero,Provincia,Santiago del Estero,IGN,86,SE,AR-G
Provincia de Corrientes,Provincia,Corrientes,IGN,18,CR,AR-W
Provincia de Santa Fe,Provincia,Santa Fe,IGN,82,SF,AR-S
Provincia de Tucumán,Provincia,Tucumán,IGN,90,TU,AR-T
Provincia del Neuquén,Provincia,Neuquén,IGN,58,NQ,AR-Q
Provincia de Salta,Provincia,Salta,IGN,66,SA,AR-A
Provincia del Chaco,Provincia,Chaco,IGN,22,CH,AR-H
Provincia de Formosa,Provincia,Formosa,IGN,34,FO,AR-P
Provincia de Jujuy,Provincia,Jujuy,IGN,38,JY,AR-Y
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma,Ciudad Autónoma de Buenos Aires,IGN,2,CABA,AR-C
Provincia de Buenos Aires,Provincia,Buenos Aires,IGN,6,BA,AR-B
Provincia de Tierra-del-Fuego Antártida e Islas-del-Atlántico-Sur,Provincia,Tierra del Fuego,IGN,94,TF,AR-V

2010,Corrientes,0,38,4,718,60
2010,Entre Ríos,802,311,35,545,0
2010,Jujuy,24461,235,549,1900,0
2010,La Pampa,1360,190,874,15967,0
2010,La Rioja,0,130,5467,23674,0
2010,Mendoza,3712,157,5528,44799,0
2010,Misiones,3,81,75,388,0
2010,Neuquén,5,19,92,480,0
2010,Río Negro,8,6,182,449,0
2010,Salta,379,161,463,2943,0
2010,San Juan,0,0,152,936,0
2010,San Luis,9780,0,9143,13402,0
2010,Santa Cruz,4,0,8,30,0
2010,Santa Fe,18,201,236,2312,0
2010,Santiago del Estero,1050,0,0,4345,0
2010,Tierra del Fuego,3,0,3,1,0
2011,Buenos Aires,229,657,90,2378,0
2011,Catamarca,4165,0,4347,4212,0
2011,Chaco,2526,503,245,5574,0
2011,Chubut,1236,226,1273,1434,0
2011,Ciudad Autónoma de Buenos Aires,1,0,1,5,0
2011,Córdoba,24569,0,5778,40946,0
2011,Corrientes,0,1359,20,4305,192
2011,Entre Ríos,34,0,21,1970,0
2011,Formosa,338,0,317,1760,0
2011,Jujuy,327,83,143,789,0
2011,La Pampa,7300,150,3000,67572,0
2011,La Rioja,0,0,70,1320,0
2011,Mendoza,427,1,2303,8176,0
2011,Misiones,15,150,34,305,0
2011,Neuquén,671,284,5045,4682,0
2011,Río Negro,5,11,6233,9106,0
2011,Salta,167,118,171,1454,0
2011,San Juan,20,280,302,19535,0
2011,San Luis,4218,0,5842,8540,0
2011,Santa Cruz,2,0,22,39,0
2011,Santa Fe,62,197,138,2094,0
2011,Santiago del Estero,7388,0,0,3565,0
2011,Tierra del Fuego,80,0,11,6,0
2012,Buenos Aires,0,10,4,84,0
2012,Catamarca,4,5,591,4052,0
2012,Chaco,4317,138,60,3256,0
2012,Chubut,3306,261,412,719,0
2012,Ciudad Autónoma de Buenos Aires,0,0,0,0,0
2012,Córdoba,4036,0,295,6799,0
2012,Corrientes,0,770,0,2787,0
2012,Entre Ríos,1591,482,19,332,0
2012,Formosa,0,0,320,5639,0
2012,Jujuy,1503,750,1004,5417,0
2012,La Pampa,14644,0,500,15058,0
2012,La Rioja,6,26,7,352,0
2012,Mendoza,260,9,1153,5585,0
2012,Misiones,220,445,275,1204,0
2012,Neuquén,397,631,6597,8433,0
2012,Río Negro,376,6,974,1738,0
2012,Salta,115,68,319,1296,0
2012,San Juan,3,20,48,565,0
2012,San Luis,5841,0,9868,34492,0
2012,Santa Cruz,1000,11000,8420,80,0
2012,Santa Fe,5,115,164,2247,0
2012,Santiago del Estero,5510,0,0,3460,0
2012,Tierra del Fuego,2575,0,0,1,0
2012,Tucumán,58,0,458,1476,0
2013,Buenos Aires,38,12,15,1903,0
2013,Catamarca,159,0,2088,4261,0
2013,Chaco,710,868,2,7272,0
2013,Chubut,69,1,30,7,0
2013,Ciudad Autónoma de Buenos Aires,0,0,0,32,0
2013,Córdoba,25620,7000,3550,69009,0
2013,Corrientes,154,757,27,166,0
2013,Entre Ríos,1185,324,41,10290,0
2013,Formosa,764,0,7318,3211,0
2013,Jujuy,18308,1833,6530,5371,0
2013,La Pampa,44756,700,9437,28467,0
2013,La Rioja,0,50,16,440,0
2013,Mendoza,1776,4519,21239,49484,0
2013,Misiones,8,48,137,678,0
2013,Neuquén,1432,16,441,560,0
2013,Río Negro,61,10,206,1455,0
2013,Salta,0,1,1198,16947,0
2013,San Juan,80,1,64,308,0
2013,San Luis,1617,0,24425,28651,0
2013,Santa Cruz,1,0,457,1047,0
2013,Santa Fe,132,86,86,2174,0
2013,Santiago del Estero,3270,0,0,2792,0
2013,Tierra del Fuego,3,0,1,6,0
2013,Tucumán,104,0,0,6325,0
